COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
CopyOnWriteArrayList,34451193863,54,5000,5000,10000
CopyOnWriteArrayList,35704842700,55,5000,5000,10000
CopyOnWriteArrayList,36997722149,56,5000,5000,10000
CopyOnWriteArrayList,38614593093,57,5000,5000,10000
CopyOnWriteArrayList,40022366497,58,5000,5000,10000
CopyOnWriteArrayList,41468334011,59,5000,5000,10000
CopyOnWriteArrayList,42982943708,60,5000,5000,10000
SynchronizedList,7280254,1,5000,5000,10000
SynchronizedList,7539222,2,5000,5000,10000
SynchronizedList,5944005,3,5000,5000,10000
SynchronizedList,8908346,4,5000,5000,10000
SynchronizedList,11709257,5,5000,5000,10000
SynchronizedList,7669975,6,5000,5000,10000
SynchronizedList,11988793,7,5000,5000,10000
SynchronizedList,13635944,8,5000,5000,10000
SynchronizedList,23842499,9,5000,5000,10000
SynchronizedList,11732781,10,5000,5000,10000
SynchronizedList,9942693,11,5000,5000,10000
SynchronizedList,11247251,12,5000,5000,10000
SynchronizedList,11594570,13,5000,5000,10000
SynchronizedList,11884141,14,5000,5000,10000
SynchronizedList,14147284,15,5000,5000,10000
SynchronizedList,16416951,16,5000,5000,10000
SynchronizedList,16302143,17,5000,5000,10000
SynchronizedList,18910140,18,5000,5000,10000
SynchronizedList,21687776,19,5000,5000,10000
SynchronizedList,19313953,20,5000,5000,10000
SynchronizedList,18009193,21,5000,5000,10000
SynchronizedList,21035028,22,5000,5000,10000
SynchronizedList,22440810,23,5000,5000,10000
SynchronizedList,19459522,24,5000,5000,10000
SynchronizedList,22044899,25,5000,5000,10000
SynchronizedList,25741707,26,5000,5000,10000
SynchronizedList,23603909,27,5000,5000,10000
SynchronizedList,26445446,28,5000,5000,10000
SynchronizedList,26946592,29,5000,5000,10000
SynchronizedList,22681319,30,5000,5000,10000
SynchronizedList,27125936,31,5000,5000,10000
SynchronizedList,27140998,32,5000,5000,10000
SynchronizedList,26846228,33,5000,5000,10000
SynchronizedList,33881880,34,5000,5000,10000
SynchronizedList,30148594,35,5000,5000,10000
SynchronizedList,35436117,36,5000,5000,10000
SynchronizedList,37484130,37,5000,5000,10000
SynchronizedList,29732831,38,5000,5000,10000
SynchronizedList,31321329,39,5000,5000,10000
